surface_t0,surface_t1,loss_percentage,image,Verdict
232603,270406,-16.25215495930835,val_1.png,Revégétalisation
121983,306244,-151.05465515686612,val_12.png,Revégétalisation
141411,294785,-108.45973792703538,val_15.png,Revégétalisation
199451,283361,-42.07048347714476,val_18.png,Revégétalisation
549324,240324,56.25095572012145,val_22.png,Critique
431192,190780,55.7552088164901,val_27.png,Critique
236199,238204,-0.8488604947523064,val_3.png,Stable
264624,344322,-30.11744966442953,val_30.png,Revégétalisation
204705,231376,-13.028992941061526,val_35.png,Stable
228205,237167,-3.927170745601542,val_40.png,Stable
280363,224645,19.873521113699024,val_5.png,Déforestation
286239,346389,-21.01390795803507,val_8.png,Revégétalisation
